Volatility 3 Framework 2.7.0

PID	Process	Offset	Start VPN	End VPN	Tag	Protection	CommitCharge	PrivateMemory	Parent	File	File output

4	System	0xffffa085154b2100	0x7ffe3000	0x7ffe3fff	VadS	PAGE_READONLY	1	1	0x0	N/A	Disabled
4	System	0xffffa085154b2470	0x7ffe0000	0x7ffe0fff	VadS	PAGE_READONLY	1	1	0xffffa085154b2100	N/A	Disabled
4	System	0xffffa0851745d060	0x76f00000	0x770a3fff	Vad 	PAGE_EXECUTE_WRITECOPY	9	0	0xffffa085154b2470	\Windows\SysWOW64\ntdll.dll	Disabled
4	System	0xffffa0851745d740	0x7ffc93210000	0x7ffc93241fff	Vad 	PAGE_EXECUTE_WRITECOPY	9	0	0xffffa085154b2100	\Windows\System32\vertdll.dll	Disabled
4	System	0xffffa08517473900	0x23242160000	0x23242160fff	Vad 	PAGE_READWRITE	0	0	0xffffa0851745d740	N/A	Disabled
4	System	0xffffa0851745d380	0x7ffc93250000	0x7ffc93447fff	Vad 	PAGE_EXECUTE_WRITECOPY	16	0	0xffffa0851745d740	\Windows\System32\ntdll.dll	Disabled
100	Registry	0xffffa08517460760	0x14075df0000	0x14075feffff	Vad 	PAGE_READONLY	4	0	0x0	\Windows\System32\config\SOFTWARE	Disabled
100	Registry	0xffffa085174601c0	0x14073df0000	0x14073feffff	Vad 	PAGE_READONLY	0	0	0xffffa08517460760	\Windows\System32\config\SOFTWARE	Disabled
100	Registry	0xffffa08517460c60	0x14072df0000	0x14072feffff	Vad 	PAGE_READONLY	12	0	0xffffa085174601c0	\Windows\System32\config\SOFTWARE	Disabled
100	Registry	0xffffa0851745f720	0x140725f0000	0x140727effff	Vad 	PAGE_READONLY	15	0	0xffffa08517460c60	\Windows\System32\config\SOFTWARE	Disabled
100	Registry	0xffffa0851745f220	0x140723e0000	0x140723effff	Vad 	PAGE_READONLY	6	0	0xffffa0851745f720	\EFI\Microsoft\Boot\BCD	Disabled
100	Registry	0xffffa0851745f400	0x140721e0000	0x140723dffff	Vad 	PAGE_READONLY	25	0	0xffffa0851745f220	\Windows\System32\config\SOFTWARE	Disabled
100	Registry	0xffffa0851745fc20	0x140723f0000	0x140725effff	Vad 	PAGE_READONLY	75	0	0xffffa0851745f220	\Windows\System32\config\SOFTWARE	Disabled
100	Registry	0xffffa0851745fcc0	0x140729f0000	0x14072beffff	Vad 	PAGE_READONLY	48	0	0xffffa0851745f720	\Windows\System32\config\SOFTWARE	Disabled
100	Registry	0xffffa0851745f9a0	0x140727f0000	0x140729effff	Vad 	PAGE_READONLY	92	0	0xffffa0851745fcc0	\Windows\System32\config\SOFTWARE	Disabled
100	Registry	0xffffa08517460da0	0x14072bf0000	0x14072deffff	Vad 	PAGE_READONLY	20	0	0xffffa0851745fcc0	\Windows\System32\config\SOFTWARE	Disabled
100	Registry	0xffffa08517460b20	0x140735f0000	0x140737effff	Vad 	PAGE_READONLY	1	0	0xffffa08517460c60	\Windows\System32\config\SOFTWARE	Disabled
